[11:32:33] REPEAT FULL-START STRESS (teacher-judged)
[11:33:34]   !! [FAIL 0.0] full -> lite #7: 'tzip full activated' — The model confirmed the previous mode ('tzip full') instead of the requested new mode ('tzip lite').
[11:33:52]   !! [FAIL 0.0] full -> lite #8: 'tzip full activated' — The model replied with "tzip full activated" instead of the correct "tzip lite activated" for the "tzip lite" invocation.
[11:40:13] TOTAL: 88 PASS / 2 non-PASS (90 tests)
[11:40:13]   [ok ] A-repeat 'tzip full' #1: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #2: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #3: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #4: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #5: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #6: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #7: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #8: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #9: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'tzip full' #10: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #1: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #2: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #3: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #4: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #5: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #6: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #7: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #8: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #9: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] A-repeat 'full' #10: 'tzip full activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #1: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #2: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #3: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #4: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #5: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #6: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #7: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #8: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #9: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> on #10: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> lite #1: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> lite #2: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> lite #3: 'tzip lite activated' (PASS 1.0)
[11:40:13]   [ok ] B-repeat full -> lite #4: 'tzip lite activated' (PASS 1.0)
