[14:36:08] System prompt (full pi build, 5 skills + project context): 4907 chars
[14:36:08] Parsed 17 context messages + tzip user message (2625 chars, tail 'teps.\n</skill>\n\nfull')
[14:36:28] [PASS] A 'tzip'               ok 10/10 leaks 2/10
[14:36:43] [PASS] A 'tzip on'            ok 10/10 leaks 0/10
[14:37:02] [PASS] A 'on'                 ok 10/10 leaks 7/10
[14:37:17] [PASS] A 'tzip lite'          ok 10/10 leaks 0/10
[14:37:36] [PASS] A 'lite'               ok 10/10 leaks 0/10
[14:37:53] [PASS] A 'tzip full'          ok 10/10 leaks 0/10
[14:38:09] [PASS] A 'full'               ok 10/10 leaks 0/10
[14:38:25] [PASS] A 'tzip ultra'         ok 10/10 leaks 0/10
[14:38:42] [PASS] A 'ultra'              ok 10/10 leaks 0/10
[14:39:05] [PASS] A 'tzip off'           ok 10/10 leaks 1/10
[14:39:25] [PASS] A 'off'                ok 10/10 leaks 0/10
[14:39:56] [PASS] live (bare) -> full    ok 10/10 leaks 0/10
[14:40:11] [PASS] live (bare) -> lite    ok 10/10 leaks 0/10
[14:40:27] [PASS] live full -> lite      ok 10/10 leaks 0/10
[14:40:55] [PASS] live full -> ultra     ok 10/10 leaks 5/10
[14:41:11] [PASS] live (bare) -> off     ok 10/10 leaks 1/10
[14:41:32] [PASS] live ultra -> full     ok 10/10 leaks 0/10
[14:41:52] [PASS] B ultra -> off         ok 10/10 leaks 6/10
[14:42:04] [PASS] B lite -> off          ok 10/10 leaks 0/10
[14:42:19] [PASS] B full -> off          ok 10/10 leaks 4/10
[14:42:19] === V2: 200/2000 correct, 26/2000 leaks ===
